user_id,username,gender,birthday,city,register_time,register_channel,user_level,status
1,user_000001,男,1984-02-25,杭州,2026-03-09 04:57:40,app,普通会员,正常
2,user_000002,女,1990-07-24,深圳,2026-03-04 09:30:33,app,金牌会员,正常
3,user_000003,女,2005-12-09,上海,2026-03-16 13:14:29,web,普通会员,禁用
4,user_000004,男,1982-03-23,西安,2026-03-14 21:12:40,web,普通会员,正常
5,user_000005,女,1984-07-02,南京,2026-03-18 19:00:09,web,普通会员,正常
6,user_000006,男,1998-02-02,深圳,2026-03-03 23:02:14,app,普通会员,正常
7,user_000007,女,1981-05-24,杭州,2026-03-15 13:10:59,mini_program,普通会员,正常
8,user_000008,女,1983-03-20,武汉,2026-03-18 10:14:30,app,普通会员,正常
9,user_000009,男,1990-06-30,西安,2026-03-12 06:19:45,web,普通会员,正常
10,user_000010,女,1985-02-24,重庆,2026-03-20 16:28:16,mini_program,金牌会员,禁用
11,user_000011,男,2004-08-27,成都,2026-03-02 08:29:47,web,普通会员,正常
12,user_000012,女,1981-10-20,杭州,2026-03-07 06:52:19,app,普通会员,正常
13,user_000013,女,2001-11-13,上海,2026-03-09 02:08:07,app,普通会员,正常
14,user_000014,女,1993-12-25,西安,2026-03-02 05:22:09,mini_program,普通会员,正常
15,user_000015,女,1978-12-26,上海,2026-03-01 20:07:13,app,普通会员,正常
16,user_000016,男,2008-02-13,深圳,2026-03-15 20:08:03,web,银牌会员,正常
17,user_000017,男,2005-06-24,杭州,2026-03-11 15:52:57,mini_program,普通会员,正常
18,user_000018,女,1995-05-29,杭州,2026-03-09 18:09:43,app,普通会员,正常
19,user_000019,女,1997-09-03,广州,2026-03-18 20:22:41,app,银牌会员,正常
20,user_000020,男,2007-08-02,北京,2026-03-05 08:32:13,app,普通会员,正常
21,user_000021,男,2005-03-06,南京,2026-03-16 03:37:28,web,普通会员,正常
22,user_000022,女,1980-11-29,南京,2026-03-09 18:10:47,mini_program,普通会员,正常
23,user_000023,男,1986-11-17,重庆,2026-02-26 21:21:20,mini_program,普通会员,正常
24,user_000024,女,1990-02-02,上海,2026-03-04 16:38:07,app,普通会员,正常
25,user_000025,女,1977-03-26,南京,2026-02-28 11:53:34,mini_program,普通会员,正常
26,user_000026,女,1994-02-10,深圳,2026-03-09 22:45:54,web,普通会员,正常
27,user_000027,男,1986-10-12,成都,2026-03-15 19:02:53,app,普通会员,正常
28,user_000028,男,1980-05-17,上海,2026-02-27 06:03:41,mini_program,银牌会员,正常
29,user_000029,男,2006-03-17,上海,2026-03-14 18:34:48,web,银牌会员,正常
30,user_000030,男,1990-06-21,杭州,2026-03-10 12:27:36,app,金牌会员,禁用
31,user_000031,男,1999-05-22,上海,2026-03-15 02:36:47,web,普通会员,正常
32,user_000032,男,1980-04-17,西安,2026-03-05 16:44:32,app,普通会员,正常
33,user_000033,男,1988-08-16,重庆,2026-03-05 01:41:58,web,普通会员,正常
34,user_000034,女,1978-02-20,上海,2026-03-06 17:43:58,app,普通会员,正常
35,user_000035,女,1996-10-08,西安,2026-03-12 07:33:09,mini_program,普通会员,正常
36,user_000036,女,1993-12-09,上海,2026-03-07 18:46:18,app,银牌会员,正常
37,user_000037,女,1992-01-13,武汉,2026-03-25 13:07:12,app,普通会员,正常
38,user_000038,女,1996-04-17,武汉,2026-03-12 10:37:21,app,银牌会员,正常
39,user_000039,男,2000-08-13,西安,2026-03-15 13:46:32,app,普通会员,正常
